date,ident,evol.temp,assay.temp,evol.rep,assay.rep,conc.N,gr.rate,errs,sds,comments
90816,1,16,16,1,1,0,0.07953,0.01092,0.02674,ok
90816,2,16,16,1,2,0,0.0546,0.03152,0.07722,ok
90816,3,16,16,1,3,0,0.03447,0.01633,0.03999,ok
90816,4,16,16,1,1,2.5,0.10566,0.01218,0.02984,ok
90816,5,16,16,1,2,2.5,0.11921,0.05106,0.12506,ok
90816,6,16,16,1,3,2.5,0.08353,0.00201,0.00493,ok
90816,7,16,16,1,1,5,0.09708,0.00272,0.00665,ok
90816,8,16,16,1,2,5,0.13413,0.03466,0.08489,ok
90816,9,16,16,1,3,5,0.14384,0.05948,0.14569,ok
90816,10,16,16,1,1,10,0.17523,0.03812,0.09337,ok
90816,11,16,16,1,2,10,0.11989,0.02278,0.0558,ok
90816,12,16,16,1,3,10,0.15537,0.03747,0.09178,ok
102016,13,16,16,1,1,20,0.39369,0.02181,0.05342,ok
102016,14,16,16,1,2,20,0.47045,0.06679,0.16359,ok
102016,15,16,16,1,3,20,0.41872,0.05,0.12247,ok
102016,16,16,16,1,1,40,0.38363,0.08384,0.20537,ok
102016,17,16,16,1,2,40,0.45469,0.02842,0.06961,ok
102016,18,16,16,1,3,40,0.4495,0.11442,0.28028,ok
102016,19,16,16,1,1,60,0.61774,0.1303,0.31918,ok
102016,20,16,16,1,2,60,0.57105,0.1636,0.40074,ok
102016,21,16,16,1,3,60,0.58071,0.10118,0.24783,ok
102016,22,16,16,1,1,90,0.68165,0.08619,0.21111,ok
102016,23,16,16,1,2,90,0.62261,0.00144,0.00352,ok
102016,24,16,16,1,3,90,0.59432,0.07559,0.18515,ok
111616,25,16,16,1,1,150,0.7128,0.02112,0.05172,ok
111616,26,16,16,1,2,150,0.80391,0.0635,0.15554,ok
111616,27,16,16,1,3,150,0.77143,0.06008,0.14717,ok
120216,28,16,16,1,1,882,0.74287,0.03814,0.09342,ok
110916,29,16,16,1,2,882,0.85068,0.03814,0.09342,ok
120216,30,16,16,1,3,882,0.82282,0.0429,0.10508,ok
102415,31,16,16,2,1,0,0.11467,0.01121,0.02745,ok
102415,32,16,16,2,2,0,0.03602,0.01394,0.03415,ok
102415,33,16,16,2,3,0,0.04103,0.01925,0.04714,ok
102415,34,16,16,2,1,2.5,0.01362,0.01572,0.03851,ok
102415,35,16,16,2,2,2.5,0.01426,0.00589,0.01442,ok
102415,36,16,16,2,3,2.5,0.01487,0.00881,0.02157,ok
102415,37,16,16,2,1,5,0.05448,0.00853,0.02089,ok
102415,38,16,16,2,2,5,0.02385,0.00945,0.02314,ok
102415,39,16,16,2,3,5,0.08637,0.0217,0.05315,ok
102415,40,16,16,2,1,10,0.08956,0.05286,0.12948,ok
102415,41,16,16,2,2,10,0.13671,0.04606,0.11282,ok
102415,42,16,16,2,3,10,0.23689,0.04032,0.09877,ok
102415,43,16,16,2,1,20,0.29348,0.05247,0.12853,ok
102415,44,16,16,2,2,20,0.33805,0.00666,0.01632,ok
102415,45,16,16,2,3,20,0.28141,0.03552,0.087,ok
102415,46,16,16,2,1,40,0.43681,0.02449,0.05999,ok
102415,47,16,16,2,2,40,0.46624,0.04084,0.10003,ok
102415,48,16,16,2,3,40,0.51023,0.02461,0.06027,ok
102415,49,16,16,2,1,60,0.62759,0.00268,0.00657,ok
102415,50,16,16,2,2,60,0.63883,0.00364,0.00892,ok
102415,51,16,16,2,3,60,0.60884,0.01995,0.04886,ok
102415,52,16,16,2,1,90,0.64177,0.0173,0.04238,ok
102415,53,16,16,2,2,90,0.64002,0.02296,0.05624,ok
